Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC part #
"ME6211C33U4AG-N","Integrated Circuit","1, 2, 3","X2-SON-4-EP(1X1)","ME6211C33U4AG-N","3",C428904
"BMI270","Integrated Circuit","BMI","BMI270","BMI270","1",C2836813
"2.2uF","Capacitor SMD 0402","C1, C12, C21, C22, C42, C69","CAP_0402","CAP_0402","6",C2997286
"100nF","Capacitor SMD 0201","C2, C4, C7, C8, C10, C11, C13, C41, C43, C45, C46, C48, C49, C50, C53, C55, C58, C63, CBST1, CBST2","CAP_0201","CAP_0201","20",C668346
"1uF","Capacitor SMD 0402","C3, C9, C19, C28, C31, C32, C35, C36, C37, C38","CAP_0402","CAP_0402","10",C528974
"4.7uF","Capacitor SMD 0402","C5, C6","CAP_0402","CAP_0402","2",C368809
"10uF","Capacitor SMD 0805","C14, C15, C23, C24","CAP_0805","CAP_0805","4",C162422
"10p","Capacitor SMD 0201","C16, C25","CAP_0201","CAP_0201","2",C76921
"47uF","Capacitor SMD 0603","C17, C18, C65","CAP_0603","CAP_0603","3",C140782
"10nF","Capacitor SMD 0201","C20, C29, C47, C56, C57","CAP_0201","CAP_0201","5",C76941
"22uF","Capacitor SMD 0603","C26, C27, C34, C51","CAP_0603","CAP_0603","4",C2762594
"NFM18PC225B1A3D","Capacitor","C30, C33","NFM18PC225B1A3D","NFM18PC225B1A3D","2",C113151
"10uF","Capacitor SMD 0603","C39","CAP_0603","CAP_0603","1",C194427
"100uF","Capacitor SMD 0805","C40","CAP_0805","CAP_0805","1",C141660
"10uF","Capacitor SMD 0402","C52, C54, C68","CAP_0402","CAP_0402","3",C315248
"10pF","Capacitor SMD 0201","C59, C60, C61, C62","CAP_0201","CAP_0201","4",C384956
"470nF","Capacitor SMD 0402","C64","CAP_0402","CAP_0402","1",C471404
"D_SCHOTTKY_SOD_323","Diode Schottky SMD SOD-323","D1, D2","SOD-323","D_SCHOTTKY_SOD_323","2",C2915261
"RED","LED 0402 RED SMD","D3, D4, D5","LED_0402_RED","LED_0402_RED","3",C264407
