"Designator","Comment","Layer","Footprint","Mid X(mm)","Mid Y(mm)","Rotation","Description"
"R37","0","Bottom","RES_0402","2.0200","2.5600","270","Resistor SMD 0402"
"R35","0","Top","RES_0402","13.5000","1.6300","180","Resistor SMD 0402"
"R36","10k","Bottom","RES_0201","9.6400","4.8800","0","Resistor SMD 0201"
"R34","10k","Top","RES_0201","5.5550","2.7100","0","Resistor SMD 0201"
"R33","10k","Top","RES_0201","5.6650","-0.5700","180","Resistor SMD 0201"
"R32","0","Bottom","RES_0201","8.3050","23.7600","0","Resistor SMD 0201"
"R31","0","Bottom","RES_0201","21.6900","8.2900","180","Resistor SMD 0201"
"Q3","DMN1045UFR4-7","Top","DMP1200UFR47","5.5500","0.9160","180","MOSFET (N-Channel)"
"C69","2.2uF","Top","CAP_0402","14.8600","3.1200","0","Capacitor SMD 0402"
"C68","10uF","Bottom","CAP_0402","9.2000","12.4200","0","Capacitor SMD 0402"
"C65","47uF","Bottom","CAP_0603","14.3000","-1.8100","180","Capacitor SMD 0603"
"C51","22uF","Top","CAP_0603","-4.0600","20.3200","270","Capacitor SMD 0603"
"C46","100nF","Top","CAP_0201","6.2150","-1.1500","180","Capacitor SMD 0201"
"C39","10uF","Bottom","CAP_0603","12.8500","21.8200","270","Capacitor SMD 0603"
"J2","Connector_JST_SH_P6","Top","CONNECTOR_JST_SH_P6","-2.4900","13.6375","270",""
"C34","22uF","Bottom","CAP_0603","-2.2600","15.7900","270","Capacitor SMD 0603"
"C33","NFM18PC225B1A3D","Top","NFM18PC225B1A3D","5.0200","5.1700","90","Capacitor"
"D4","RED","Top","LED_0402_RED","3.4100","0.7600","270","LED 0402 RED SMD"
"C53","100nF","Bottom","CAP_0201","5.4300","5.7600","90","Capacitor SMD 0201"
"IC1","SX1280IMLTRT","Top","QFN50P400X400X100-25N-D","0.9100","7.1500","90","Integrated Circuit"
"XTAL1","CSTCE8M00G52-R0","Top","OSC_CSTCE8M00G52-R0","5.8420","13.9700","270","8MHz Ceramic Resonator Built in Capacitor 10pF ±0.2% -20°C ~ 80°C Surface Mount"
"X2","52Mhz","Top","XTAL_2016","2.3400","3.3100","180","Crystal SMD 4-Pin 2.0x1.6mm"
"X1","26Mhz","Bottom","XTAL_2016","5.8300","7.6700","180","Crystal SMD 4-Pin 2.0x1.6mm"
"U6","ESP8285","Bottom","QFN50P500X500X90-33N","1.0500","7.3000","90","IC RF TxRx + MCU WiFi 802.11b/g/n 2.4GHz 32-VFQFN Exposed Pad"
"U5","W25N01GVZEIG","Bottom","W25N01GVZEIG","3.1000","14.3510","0",""
"U3","BMP388","Bottom","PQFN50P200X200X80-10N","11.3770","4.3370","0","P-Sensor SPI I2C 1, 25 Bar SMD"
"U2","SW_REG_LT8609","Bottom","SW_REG_LT8609","9.9524","21.7400","0",""
"U1","SW_REG_LT8609","Bottom","SW_REG_LT8609","22.2100","11.8624","90",""
"S2","EVPAKE31A","Top","EVPAKE31A","-3.8610","1.0500","90",""
"S1","EVPAKE31A","Top","EVPAKE31A","23.8250","1.0500","270",""
"RT2","18.2k","Bottom","RES_0201","7.7100","22.4800","90","Resistor SMD 0201"
"RT1","33k","Bottom","RES_0201","21.5400","9.7400","0","Resistor SMD 0201"
"RFB4","95.3k","Bottom","RES_0201","9.6100","23.8400","0","Resistor SMD 0201"
"RFB3","1M","Bottom","RES_0201","11.1900","24.0800","270","Resistor SMD 0201"
"RFB2","178k","Bottom","RES_0201","19.9000","11.6200","90","Resistor SMD 0201"
"RFB1","1M","Bottom","RES_0201","19.6200","12.9400","0","Resistor SMD 0201"
"R30","10k","Bottom","RES_0201","17.5500","15.0700","180","Resistor SMD 0201"
"R29","12k","Bottom","RES_0201","-0.0800","3.7100","90","Resistor SMD 0201"
"R28","12k","Top","RES_0201","-3.9700","8.7900","90","Resistor SMD 0201"
"R27","12k","Bottom","RES_0201","-4.7100","1.2250","270","Resistor SMD 0201"
"R26","12k","Bottom","RES_0201","6.5400","3.3000","0","Resistor SMD 0201"
"R25","12k","Bottom","RES_0201","4.6850","5.5400","180","Resistor SMD 0201"
"R24","1k","Bottom","RES_0201","-3.7600","2.9400","270","Resistor SMD 0201"
"R23","5.1k","Bottom","RES_0201","18.1300","12.8200","180","Resistor SMD 0201"
"R22","5.1k","Top","RES_0201","17.1600","9.8600","270","Resistor SMD 0201"
"R21","10k","Top","RES_0201","4.2800","-1.8000","270","Resistor SMD 0201"
"R20","10k","Top","RES_0201","1.1200","14.8600","90","Resistor SMD 0201"
"R19","1k","Top","RES_0201","4.6990","16.8910","180","Resistor SMD 0201"
"R18","1k","Top","RES_0201","3.8400","1.9800","180","Resistor SMD 0201"
"R17","1k","Top","RES_0201","7.9700","-0.5700","180","Resistor SMD 0201"
"R16","10k","Bottom","RES_0201","11.4500","18.3900","0","Resistor SMD 0201"
"R15","9.76k","Bottom","RES_0201","10.4900","19.2800","90","Resistor SMD 0201"
"R14","88.7k","Bottom","RES_0402","12.9300","19.8900","0","Resistor SMD 0402"
"R13","10k","Bottom","RES_0201","24.3000","11.4400","90","Resistor SMD 0201"
"R12","10k","Bottom","RES_0201","23.2600","-0.9700","180","Resistor SMD 0201"
"R11","100k","Bottom","RES_0402","15.4800","19.7800","0","Resistor SMD 0402"
"R10","6.8k","Bottom","RES_0201","15.5900","18.8700","180","Resistor SMD 0201"
"R9","1k","Top","RES_0201","5.4500","17.6200","90","Resistor SMD 0201"
"R8","1k","Top","RES_0201","17.1900","16.4100","90","Resistor SMD 0201"
"R7","49.9k","Bottom","RES_0402","24.3100","12.8700","90","Resistor SMD 0402"
"R6","6.8k","Bottom","RES_0201","17.8700","16.3000","90","Resistor SMD 0201"
"R5","100k","Bottom","RES_0402","17.0900","17.3500","90","Resistor SMD 0402"
"R4","4.7k","Top","RES_0201","16.2900","9.8300","90","Resistor SMD 0201"
"R3","4.7k","Bottom","RES_0201","12.5400","8.4700","180","Resistor SMD 0201"
"R2","4.7k","Top","RES_0201","15.6900","7.5300","90","Resistor SMD 0201"
"R1","4.7k","Bottom","RES_0201","13.3700","9.9300","90","Resistor SMD 0201"
"Q2","DMN1045UFR4-7","Top","DMP1200UFR47","3.0990","-1.8100","90","MOSFET (N-Channel)"
"Q1","DMN1045UFR4-7","Bottom","DMP1200UFR47","11.4100","19.4010","180","MOSFET (N-Channel)"
"LED3","GREEN","Bottom","LED_0402_GREEN","-2.5800","3.2200","180","LED 0402 GREEN SMD"
"LED2","BLUE","Top","LED_0402_BLUE","6.7300","17.5100","0","LED 0402 BLUE SMD"
"LED1","YELLOW","Top","LED_0402_YELLOW","16.6400","17.3900","180","LED 0402 YELLOW SMD"
"L4","L0603","Top","IND_0603","10.4100","0.2400","0","Inductor SMD 0603"
"L3","XAL4030-472MEC","Bottom","IND-SMD_L4.0-W4.0","5.0200","19.6400","180","Inductor"
